label,one,two,three,four,five,six,seven,label_bracket,index
40,(,4,*,8,),+,8,1,0
7,7,+,3,*,0,,,0,1
12,5,+,(,5,+,2,),1,2
0,(,8,-,0,),-,8,1,3
2,0,+,(,0,+,2,),1,4
10,(,2,*,5,),+,0,1,5
9,0,+,(,1,+,8,),1,6
15,2,+,(,4,+,9,),1,7
18,7,*,2,+,4,,,0,8
-7,0,-,(,7,*,1,),1,9
243,9,*,(,3,*,9,),1,10
7,2,+,8,-,3,,,0,11
-20,(,4,-,8,),*,5,1,12
6,6,-,4,+,4,,,0,13
11,5,+,(,1,*,6,),1,14
44,4,*,(,3,+,8,),1,15
21,6,+,(,5,*,3,),1,16
7,0,+,(,6,+,1,),1,17
0,6,*,(,0,*,2,),1,18
44,(,5,*,8,),+,4,1,19
18,(,9,+,2,),+,7,1,20
47,(,7,*,8,),-,9,1,21
0,4,+,2,-,6,,,0,22
18,(,3,*,6,),+,0,1,23
-8,1,-,(,9,+,0,),1,24
0,(,0,*,7,),*,1,1,25
13,9,-,(,4,-,8,),1,26
41,5,+,4,*,9,,,0,27
7,5,*,0,+,7,,,0,28
140,7,*,(,4,*,5,),1,29
7,(,2,+,3,),+,2,1,30
-1,(,7,-,9,),+,1,1,31
-2,3,-,(,5,-,0,),1,32
10,(,1,+,4,),*,2,1,33
42,6,+,(,4,*,9,),1,34
-14,(,0,-,7,),-,7,1,35
7,(,6,*,1,),+,1,1,36
0,(,9,*,0,),*,0,1,37
-18,3,-,(,3,*,7,),1,38
9,3,-,(,1,-,7,),1,39
225,5,*,9,*,5,,,0,40
11,(,2,*,5,),+,1,1,41
8,5,+,(,0,+,3,),1,42
-2,0,-,2,+,0,,,0,43
8,6,+,(,2,+,0,),1,44
16,(,8,+,3,),+,5,1,45
59,(,9,*,6,),+,5,1,46
6,1,*,(,6,-,0,),1,47
7,3,+,3,+,1,,,0,48
0,4,-,(,1,+,3,),1,49
4,7,-,6,+,3,,,0,50
18,(,2,+,4,),*,3,1,51
13,3,+,(,8,+,2,),1,52
-23,1,-,(,3,*,8,),1,53
1,2,-,7,+,6,,,0,54
6,(,6,-,5,),+,5,1,55
1,1,-,(,0,*,0,),1,56
18,8,+,5,*,2,,,0,57
-1,0,+,2,-,3,,,0,58
-18,9,*,(,2,-,4,),1,59
0,0,*,(,9,-,8,),1,60
12,(,2,+,1,),*,4,1,61
4,0,+,(,8,-,4,),1,62
0,0,*,(,1,*,4,),1,63
18,9,*,(,1,*,2,),1,64
8,8,+,(,4,-,4,),1,65
4,(,6,+,2,),-,4,1,66
0,6,*,(,7,*,0,),1,67
9,(,8,-,7,),*,9,1,68
2,2,+,(,0,-,0,),1,69
11,8,+,8,-,5,,,0,70
-5,7,-,4,-,8,,,0,71
-3,2,-,(,6,-,1,),1,72
16,2,*,(,1,+,7,),1,73
7,1,+,7,-,1,,,0,74
8,(,5,+,8,),-,5,1,75
56,4,*,2,*,7,,,0,76
6,2,+,1,+,3,,,0,77
72,(,9,*,8,),*,1,1,78
13,2,+,6,+,5,,,0,79
3,1,+,2,*,1,,,0,80
0,(,0,*,1,),*,2,1,81
16,(,7,+,5,),+,4,1,82
-21,3,*,(,2,-,9,),1,83
0,5,-,(,2,+,3,),1,84
6,1,+,(,3,+,2,),1,85
108,9,*,(,7,+,5,),1,86
0,5,+,3,-,8,,,0,87
-7,1,-,(,2,+,6,),1,88
-2,(,6,-,4,),-,4,1,89
36,6,*,5,+,6,,,0,90
-1,(,2,-,6,),+,3,1,91
12,7,+,4,+,1,,,0,92
31,7,+,(,6,*,4,),1,93
10,3,+,(,7,+,0,),1,94
-6,2,-,(,7,+,1,),1,95
10,1,*,(,2,+,8,),1,96
3,3,-,(,0,+,0,),1,97
-8,3,-,(,7,+,4,),1,98
10,6,-,2,+,6,,,0,99
-4,2,+,1,-,7,,,0,100
46,6,+,(,5,*,8,),1,101
105,7,*,(,3,*,5,),1,102
16,5,+,8,+,3,,,0,103
-64,0,-,(,8,*,8,),1,104
-9,4,-,9,-,4,,,0,105
-11,2,-,(,9,+,4,),1,106
3,7,-,(,7,-,3,),1,107
-34,8,-,7,*,6,,,0,108
11,2,+,1,+,8,,,0,109
6,4,-,4,+,6,,,0,110
0,4,-,7,+,3,,,0,111
1,(,3,+,0,),-,2,1,112
12,8,*,2,-,4,,,0,113
7,0,+,(,1,*,7,),1,114
15,3,+,7,+,5,,,0,115
360,(,9,*,8,),*,5,1,116
0,8,*,1,-,8,,,0,117
14,2,*,7,-,0,,,0,118
-6,(,2,*,1,),-,8,1,119
-28,(,0,-,4,),*,7,1,120
0,1,-,(,1,-,0,),1,121
2,4,+,(,3,-,5,),1,122
9,9,*,(,4,-,3,),1,123
1,(,3,-,8,),+,6,1,124
13,4,+,(,1,+,8,),1,125
8,(,4,+,4,),*,1,1,126
8,(,2,*,4,),*,1,1,127
-23,1,-,(,3,*,8,),1,128
108,6,*,(,2,*,9,),1,129
-1,4,-,1,*,5,,,0,130
192,6,*,8,*,4,,,0,131
-24,(,2,-,5,),*,8,1,132
8,8,-,(,0,-,0,),1,133
5,3,-,(,6,-,8,),1,134
2,1,*,(,8,-,6,),1,135
126,7,*,6,*,3,,,0,136
0,0,*,2,*,7,,,0,137
28,0,+,(,7,*,4,),1,138
32,(,8,*,4,),-,0,1,139
